,Post Mean,Post Std,z,P>|z|,[0.025,0.975]
droughtstart_speibase,3.1201618,0.36800525,8.4785795,0.0,2.4499524891376496,3.880816048383713
urban_ih_log,0.39234713,0.1044763,3.7553697,0.00017308569248597472,0.1977871622890234,0.6081795260310173
droughtyr_speigdm,0.22385472,0.06344053,3.5285757,0.0004178025416445852,0.10069583486765624,0.3482449926435947
herb_gc,-1.2680372,0.24560082,-5.1630006,2.4302217416227734e-07,-1.8037863969802856,-0.8296594709157944
capdist,0.7743896,0.14435475,5.36449,8.11782610021794e-08,0.5129547998309135,1.0830202519893646
grass_ih_log,-0.031750392,0.094711505,-0.33523268,0.7374495699876077,-0.20869592502713202,0.16688937731087194
nlights_sd_log,0.9471338,0.14571318,6.499987,8.032674525537686e-11,0.6743401065468788,1.2239190340042114
water_gc_log,-0.540001,0.12456348,-4.335147,1.4566278203953509e-05,-0.7896120280027389,-0.3076524890959264
pop_gpw_sd_log,1.3221806,0.19548593,6.763559,1.3464229731141586e-11,0.9657759606838227,1.705356925725937
pasture_ih,0.5260863,0.10723679,4.9058375,9.302950778611319e-07,0.3080246537923813,0.744439110159874
a_0,-4.8545165,0.67983395,-7.1407385,9.282574708890934e-13,-6.25034943819046,-3.5110820174217223
