,Post Mean,Post Std,z,P>|z|,[0.025,0.975]
droughtstart_speibase,1.8142848,0.111427784,16.282158,0.0,1.6124761939048766,2.046228563785553
urban_ih_log,-0.18006323,0.074188635,-2.4271,0.015220062358364816,-0.32638258039951323,-0.04063219577074051
droughtyr_speigdm,0.22327524,0.054434475,4.101725,4.100810729013027e-05,0.12002156730741262,0.3347571827471256
herb_gc,-0.7519003,0.07078077,-10.622947,0.0,-0.8917718261480332,-0.6158271715044975
capdist,0.2433649,0.0677078,3.5943408,0.00032521380244321385,0.1170791283249855,0.37659580260515213
grass_ih_log,0.28956246,0.06833806,4.2372065,2.26318031248951e-05,0.15596101433038712,0.42514908537268636
nlights_sd_log,0.33560723,0.088991724,3.7712185,0.00016245218754995516,0.16307852938771247,0.511740455031395
water_gc_log,-0.037397444,0.06538247,-0.57197964,0.5673357655838536,-0.17375550605356693,0.09143393468111752
pop_gpw_sd_log,0.6867403,0.10613866,6.470218,9.786138566170166e-11,0.4810048297047615,0.8972749203443526
pasture_ih,0.26873854,0.068603195,3.917289,8.955039302604995e-05,0.13212795704603195,0.4100772991776466
a_0,0.17397733,0.10678708,1.6291983,0.10327102581458592,-0.04668461056426167,0.3641782470047472
